,seq_id,hubway_id,status,duration,start_date,strt_statn,end_date,end_statn,bike_nr,subsc_type,zip_code,birth_date,gender,age,check_out_hour,g1,g2,g3
32,34,52,Closed,16.0,7/28/2011 12:03:00,22.0,7/28/2011 12:04:00,22.0,B00198,1,'02116,1976.0,1,35.0,12,0.0,1.0,0.0
33,35,53,Closed,1655.0,7/28/2011 12:04:00,22.0,7/28/2011 12:32:00,36.0,B00316,1,'02115,1960.0,0,51.0,12,1.0,0.0,0.0
34,36,54,Closed,1953.0,7/28/2011 12:05:00,22.0,7/28/2011 12:37:00,31.0,B00069,1,'02021,1951.0,1,60.0,12,0.0,1.0,0.0
35,37,55,Closed,1989.0,7/28/2011 12:05:00,22.0,7/28/2011 12:38:00,31.0,B00298,1,'02151,1987.0,0,24.0,12,1.0,0.0,0.0
36,38,56,Closed,1015.0,7/28/2011 12:06:00,22.0,7/28/2011 12:23:00,36.0,B00543,1,'02116,1981.0,0,30.0,12,1.0,0.0,0.0
37,39,57,Closed,863.0,7/28/2011 12:08:00,22.0,7/28/2011 12:23:00,42.0,B00189,1,'02127,1968.0,1,43.0,12,0.0,1.0,0.0
38,40,58,Closed,6.0,7/28/2011 12:09:00,16.0,7/28/2011 12:09:00,16.0,B00533,1,'02445,1958.0,1,53.0,12,0.0,1.0,0.0
39,41,59,Closed,460.0,7/28/2011 12:10:00,22.0,7/28/2011 12:18:00,49.0,B00353,1,'01880,1968.0,1,43.0,12,0.0,1.0,0.0
40,42,60,Closed,724.0,7/28/2011 12:11:00,22.0,7/28/2011 12:23:00,40.0,B00442,1,'02113,1973.0,0,38.0,12,1.0,0.0,0.0
41,43,62,Closed,1624.0,7/28/2011 12:14:00,40.0,7/28/2011 12:41:00,20.0,B00550,1,'01867,1994.0,1,17.0,12,0.0,1.0,0.0
42,44,63,Closed,191.0,7/28/2011 12:14:00,22.0,7/28/2011 12:18:00,22.0,B00275,1,'01876,1963.0,0,48.0,12,1.0,0.0,0.0
43,45,64,Closed,1390.0,7/28/2011 12:14:00,36.0,7/28/2011 12:38:00,23.0,B00111,1,'02114,1975.0,1,36.0,12,0.0,1.0,0.0
44,46,65,Closed,1587.0,7/28/2011 12:15:00,40.0,7/28/2011 12:41:00,20.0,B00539,1,'01867,1956.0,1,55.0,12,0.0,1.0,0.0
45,47,66,Closed,1578.0,7/28/2011 12:15:00,40.0,7/28/2011 12:41:00,20.0,B00580,1,'01867,1994.0,0,17.0,12,1.0,0.0,0.0
46,48,67,Closed,2585.0,7/28/2011 12:15:00,38.0,7/28/2011 12:58:00,38.0,B00101,1,'02492,1968.0,1,43.0,12,0.0,1.0,0.0
47,49,68,Closed,899.0,7/28/2011 12:16:00,22.0,7/28/2011 12:31:00,49.0,B00082,1,'01776,1949.0,1,62.0,12,0.0,1.0,0.0
48,50,70,Closed,960.0,7/28/2011 12:19:00,45.0,7/28/2011 12:35:00,36.0,B00426,1,'01742,1962.0,1,49.0,12,0.0,1.0,0.0
49,51,71,Closed,782.0,7/28/2011 12:20:00,22.0,7/28/2011 12:33:00,20.0,B00359,1,'01945,1943.0,1,68.0,12,0.0,1.0,0.0
50,52,72,Closed,326.0,7/28/2011 12:20:00,36.0,7/28/2011 12:25:00,46.0,B00147,1,'02118,1987.0,0,24.0,12,1.0,0.0,0.0
51,53,73,Closed,376.0,7/28/2011 12:23:00,45.0,7/28/2011 12:29:00,10.0,B00454,1,'02492,1975.0,1,36.0,12,0.0,1.0,0.0
52,54,76,Closed,1556.0,7/28/2011 12:24:00,45.0,7/28/2011 12:50:00,16.0,B00131,1,'02143,1981.0,1,30.0,12,0.0,1.0,0.0
53,55,77,Closed,1681.0,7/28/2011 12:25:00,5.0,7/28/2011 12:53:00,23.0,B00231,1,'02140,1967.0,1,44.0,12,0.0,1.0,0.0
54,57,80,Closed,2702.0,7/28/2011 12:25:00,22.0,7/28/2011 13:10:00,14.0,B00058,1,'01876,1963.0,0,48.0,12,1.0,0.0,0.0
55,58,81,Closed,714.0,7/28/2011 12:26:00,36.0,7/28/2011 12:38:00,39.0,B00170,1,'02116,1983.0,1,28.0,12,0.0,1.0,0.0
56,59,82,Closed,674.0,7/28/2011 12:27:00,36.0,7/28/2011 12:38:00,39.0,B00543,1,'02116,1981.0,0,30.0,12,1.0,0.0,0.0
57,60,83,Closed,531.0,7/28/2011 12:30:00,46.0,7/28/2011 12:38:00,46.0,B00147,1,'02118,1987.0,0,24.0,12,1.0,0.0,0.0
58,62,85,Closed,50.0,7/28/2011 12:31:00,3.0,7/28/2011 12:32:00,3.0,B00071,1,'02118,1967.0,1,44.0,12,0.0,1.0,0.0
59,63,86,Closed,659.0,7/28/2011 12:32:00,34.0,7/28/2011 12:43:00,36.0,B00139,1,'02143,1969.0,1,42.0,12,0.0,1.0,0.0
60,64,87,Closed,15.0,7/28/2011 12:32:00,23.0,7/28/2011 12:32:00,23.0,B00062,1,'97214,1983.0,0,28.0,12,1.0,0.0,0.0
61,66,89,Closed,340.0,7/28/2011 12:37:00,10.0,7/28/2011 12:43:00,41.0,B00454,1,'02492,1975.0,1,36.0,12,0.0,1.0,0.0
62,67,90,Closed,427.0,7/28/2011 12:39:00,42.0,7/28/2011 12:46:00,36.0,B00279,1,'01720,1966.0,1,45.0,12,0.0,1.0,0.0
63,68,91,Closed,735.0,7/28/2011 12:42:00,16.0,7/28/2011 12:54:00,22.0,B00462,1,'02140,1966.0,1,45.0,12,0.0,1.0,0.0
64,69,92,Closed,3584.0,7/28/2011 12:43:00,20.0,7/28/2011 13:43:00,43.0,B00550,1,'01867,1959.0,0,52.0,12,1.0,0.0,0.0
65,70,93,Closed,2106.0,7/28/2011 12:43:00,20.0,7/28/2011 13:18:00,43.0,B00539,1,'01867,1994.0,0,17.0,12,1.0,0.0,0.0
66,71,94,Closed,3485.0,7/28/2011 12:44:00,20.0,7/28/2011 13:42:00,43.0,B00580,1,'01867,1956.0,1,55.0,12,0.0,1.0,0.0
67,72,95,Closed,955.0,7/28/2011 12:45:00,42.0,7/28/2011 13:01:00,10.0,B00189,1,'02127,1968.0,1,43.0,12,0.0,1.0,0.0
68,73,96,Closed,515.0,7/28/2011 12:46:00,36.0,7/28/2011 12:54:00,49.0,B00426,1,'02116,1982.0,0,29.0,12,1.0,0.0,0.0
69,74,97,Closed,2775.0,7/28/2011 12:46:00,25.0,7/28/2011 13:32:00,39.0,B00404,1,'02446,1982.0,1,29.0,12,0.0,1.0,0.0
70,77,101,Closed,515.0,7/28/2011 12:56:00,36.0,7/28/2011 13:05:00,34.0,B00279,1,'02143,1969.0,1,42.0,12,0.0,1.0,0.0
71,80,104,Closed,165.0,7/28/2011 13:02:00,39.0,7/28/2011 13:05:00,39.0,B00543,1,'02143,1981.0,1,30.0,13,0.0,1.0,0.0
72,81,105,Closed,172.0,7/28/2011 13:04:00,31.0,7/28/2011 13:06:00,43.0,B00069,1,'01890,1978.0,1,33.0,13,0.0,1.0,0.0
73,82,106,Closed,35.0,7/28/2011 13:05:00,35.0,7/28/2011 13:05:00,35.0,B00032,1,'02118,1982.0,1,29.0,13,0.0,1.0,0.0
74,83,107,Closed,586.0,7/28/2011 13:05:00,39.0,7/28/2011 13:15:00,36.0,B00170,1,'02116,1983.0,1,28.0,13,0.0,1.0,0.0
75,84,108,Closed,545.0,7/28/2011 13:05:00,5.0,7/28/2011 13:14:00,5.0,B00227,1,'02139,1986.0,1,25.0,13,0.0,1.0,0.0
76,85,109,Closed,125.0,7/28/2011 13:05:00,48.0,7/28/2011 13:07:00,48.0,B00261,1,'01719,1971.0,1,40.0,13,0.0,1.0,0.0
77,86,110,Closed,26.0,7/28/2011 13:05:00,35.0,7/28/2011 13:06:00,35.0,B00032,1,'02118,1982.0,1,29.0,13,0.0,1.0,0.0
78,87,111,Closed,541.0,7/28/2011 13:06:00,39.0,7/28/2011 13:15:00,36.0,B00543,1,'02116,1981.0,0,30.0,13,1.0,0.0,0.0
79,88,112,Closed,4.0,7/28/2011 13:09:00,23.0,7/28/2011 13:09:00,23.0,B00546,1,'02135,1982.0,1,29.0,13,0.0,1.0,0.0
80,90,116,Closed,3747.0,7/28/2011 13:14:00,22.0,7/28/2011 14:16:00,10.0,B00231,1,'97214,1983.0,0,28.0,13,1.0,0.0,0.0
81,92,118,Closed,300.0,7/28/2011 13:15:00,36.0,7/28/2011 13:20:00,42.0,B00170,1,'01720,1966.0,1,45.0,13,0.0,1.0,0.0
82,93,119,Closed,394.0,7/28/2011 13:16:00,10.0,7/28/2011 13:23:00,32.0,B00189,1,'02492,1975.0,1,36.0,13,0.0,1.0,0.0
83,94,120,Closed,16.0,7/28/2011 13:18:00,31.0,7/28/2011 13:18:00,31.0,B00298,1,'02138,1972.0,0,39.0,13,1.0,0.0,0.0
84,95,121,Closed,1472.0,7/28/2011 13:18:00,16.0,7/28/2011 13:43:00,38.0,B00131,1,'02143,1981.0,1,30.0,13,0.0,1.0,0.0
85,96,122,Closed,303.0,7/28/2011 13:18:00,5.0,7/28/2011 13:23:00,5.0,B00020,1,'02139,1986.0,1,25.0,13,0.0,1.0,0.0
86,97,124,Closed,1840.0,7/28/2011 13:21:00,40.0,7/28/2011 13:52:00,40.0,B00488,1,'01760,1968.0,1,43.0,13,0.0,1.0,0.0
87,98,125,Closed,817.0,7/28/2011 13:21:00,43.0,7/28/2011 13:35:00,43.0,B00539,1,'01867,1994.0,0,17.0,13,1.0,0.0,0.0
88,99,126,Closed,402.0,7/28/2011 13:23:00,38.0,7/28/2011 13:29:00,47.0,B00394,1,'02130,1975.0,1,36.0,13,0.0,1.0,0.0
89,100,127,Closed,389.0,7/28/2011 13:25:00,23.0,7/28/2011 13:32:00,44.0,B00392,1,'02143,1985.0,1,26.0,13,0.0,1.0,0.0
90,101,128,Closed,397.0,7/28/2011 13:25:00,23.0,7/28/2011 13:32:00,44.0,B00468,1,'02143,1986.0,0,25.0,13,1.0,0.0,0.0
91,102,129,Closed,953.0,7/28/2011 13:28:00,46.0,7/28/2011 13:43:00,45.0,B00147,1,'02139,1986.0,1,25.0,13,0.0,1.0,0.0
92,103,130,Closed,34.0,7/28/2011 13:35:00,43.0,7/28/2011 13:36:00,43.0,B00069,1,'02140,1966.0,1,45.0,13,0.0,1.0,0.0
93,106,133,Closed,862.0,7/28/2011 13:45:00,14.0,7/28/2011 13:59:00,45.0,B00058,1,'01876,1963.0,0,48.0,13,1.0,0.0,0.0
94,107,134,Closed,443.0,7/28/2011 13:46:00,43.0,7/28/2011 13:53:00,47.0,B00580,1,'01867,1994.0,0,17.0,13,1.0,0.0,0.0
95,108,135,Closed,421.0,7/28/2011 13:46:00,43.0,7/28/2011 13:53:00,47.0,B00539,1,'01867,1959.0,0,52.0,13,1.0,0.0,0.0
